go,barrel,,
move,barrel,,
approach,barrel,,
descend,barrel,,
ascend,barrel,,
go,key,,
move,key,,
approach,key,,
go,through,,
go,through,barrel,
enter,,,
enter,barrel,,
use,,,
use,key,,
open,,,
open,barrel,,
open,barrel,using,key
insert,,,
insert,key,,
pull,,,
push,,,
use,barrel,,
press,,,
press,barrel,,
push,barrel,,
pull,barrel,,
pick,up,,
pick,up,key,
get,,,
get,key,,
take,,,
take,key,,
take,key,barrel,
looking,,,
looking,barrel,,
looking,key,,
look,,,
look,barrel,,
look,key,,
go,back,,
go,back,barrel,
return,,,
return,barrel,,
undo,,,
stop,looking,,
turn,,,
turn,around,,
turn,degrees,,
